trial_number,image1_filename,image2_filename,trial_type,pair_id,contrast_type,contrast_category,image1_id,image1_gender,image1_ethnicity,image1_age,image1_attractive,image1_dominant,image1_trustworthy,image1_luminance,image2_id,image2_gender,image2_ethnicity,image2_age,image2_attractive,image2_dominant,image2_trustworthy,image2_luminance,covariate_distance,age_diff,attractive_diff,dominant_diff,trustworthy_diff,luminance_diff
42,CFD-AF-234-208-N.jpg,CFD-WM-214-026-N.jpg,regular,Female_Asian_Male_White_v1,Intersectional_Female_Asian_Male_White,intersectional,AF-234,Female,Asian,24.2962962962963,3.185185185,2.37037037,3.777777778,172.0,WM-214,Male,White,25.12,3.12,2.48,3.72,169.0,0.2838772544094318,0.8237037037036998,0.06518518499999981,0.10962963000000014,0.057777777999999724,3.0
43,CFD-WF-213-031-N.jpg,CFD-LM-244-068-N.jpg,regular,Female_White_Male_Latino_v1,Intersectional_Female_White_Male_Latino,intersectional,WF-213,Female,White,25.6551724137931,3.24137931,2.862068966,3.0,173.0,LM-244,Male,Latino,24.1785714285714,3.333333333,3.071428571,3.0,166.5,0.46320134992693696,1.476600985221701,0.091954023,0.2093596050000004,0.0,6.5
44,CFD-AF-240-206-N.jpg,CFD-LF-201-035-N.jpg,regular,Female_Asian_Female_Latino_v1,EthnicityOnly_Asian_Latino,ethnicity,AF-240,Female,Asian,27.2758620689655,3.586206897,2.137931034,3.448275862,161.0,LF-201,Female,Latino,27.2,3.48,2.16,3.44,161.0,0.14388696641684082,0.07586206896549896,0.10620689699999986,0.022068965999999968,0.008275862000000078,0.0
45,CFD-BF-244-231-N.jpg,CFD-WM-029-023-N.jpg,regular,Female_Black_Male_White_v1,Intersectional_Female_Black_Male_White,intersectional,BF-244,Female,Black,29.1071428571429,4.75,2.964285714,3.678571429,133.0,WM-029,Male,White,28.5862068965517,4.586206897,2.821428571,3.701149425,142.0,0.4404386901369279,0.5209359605911992,0.16379310299999972,0.14285714299999963,0.022577996000000322,9.0
46,CFD-LF-203-066-N.jpg,CFD-WF-031-027-N.jpg,regular,Female_Latino_Female_White_v1,EthnicityOnly_Latino_White,ethnicity,LF-203,Female,Latino,23.3703703703704,4.296296296,2.111111111,3.851851852,165.0,WF-031,Female,White,23.2352941176471,4.12195122,2.043478261,3.731707317,166.5,0.3855852219958066,0.13507625272329804,0.1743450760000007,0.06763284999999986,0.12014453499999966,1.5
47,CFD-BM-027-001-N.jpg,CFD-AF-209-006-N.jpg,regular,Male_Black_Female_Asian_v1,Intersectional_Male_Black_Female_Asian,intersectional,BM-027,Male,Black,24.1481481481481,3.925925926,2.555555556,3.703703704,128.0,AF-209,Female,Asian,22.56,4.08,2.4,3.88,142.0,0.7518802695458553,1.5881481481481003,0.15407407399999995,0.15555555599999993,0.17629629599999985,14.0
48,CFD-BM-031-003-N.jpg,CFD-AM-211-052-N.jpg,regular,Male_Black_Male_Asian_v1,EthnicityOnly_Black_Asian,ethnicity,BM-031,Male,Black,23.2696629213483,3.539325843,3.148148148,3.629213483,109.0,AM-211,Male,Asian,26.3214285714286,3.428571429,3.111111111,3.464285714,115.0,0.6773089723039507,3.051765650080302,0.11075441400000008,0.03703703700000016,0.16492776900000017,6.0
49,CFD-AM-253-161-N.jpg,CFD-BM-204-003-N.jpg,regular,Male_Asian_Male_Black_v1,EthnicityOnly_Asian_Black,ethnicity,AM-253,Male,Asian,25.0344827586207,3.862068966,2.827586207,3.827586207,141.0,BM-204,Male,Black,25.1379310344828,3.821428571,3.172413793,3.793103448,135.5,0.553457307807943,0.10344827586209959,0.04064039499999961,0.3448275860000001,0.03448275899999986,5.5
50,CFD-LM-221-216-N.jpg,CFD-WM-204-031-N.jpg,regular,Male_Latino_Male_White_v1,EthnicityOnly_Latino_White,ethnicity,LM-221,Male,Latino,34.6296296296296,3.296296296,3.37037037,3.192307692,155.5,WM-204,Male,White,35.1333333333333,3.2,3.5,3.266666667,155.5,0.30203762786467436,0.5037037037036995,0.09629629599999978,0.12962963000000016,0.074358975,0.0
51,CFD-WF-023-003-N.jpg,CFD-AF-241-141-N.jpg,regular,Female_White_Female_Asian_v1,EthnicityOnly_White_Asian,ethnicity,WF-023,Female,White,32.741935483871,2.739130435,2.416666667,3.571428571,167.0,AF-241,Female,Asian,31.875,2.958333333,2.375,3.541666667,166.0,0.33225444395912257,0.8669354838710035,0.21920289800000026,0.04166666699999988,0.02976190400000034,1.0
